proposal_key	current_id	action	model_role	preferred_label	textual_definition	asserted_parents	logical_pattern_or_constraint	evidence	migration_note	curator_decision	curator_notes
TOP:flora_phenotype	FLOPO:0000000	revise_definition	phenotype_root	flora phenotype	A phenotype classification applying to a plant or plant-derived material bearer by virtue of an observable or measurable feature of a plant continuant, or of a plant process in which the bearer participates.		Keep the root itself free of an explicit BFO superclass; its descendants classify material bearers and use BFO/RO-compatible relations to continuant or occurrent targets.	BFO 2020; RO process-relations guidance	Definition-only clarification; no obsoletion because the intended referent and existing extension are preserved.		
TOP:continuant_target_phenotype		new_top_level_branch	bearer_facet	plant continuant-target phenotype	A flora phenotype whose distinguishing feature inheres in a plant continuant, including a whole plant, plant anatomical entity, plant substance, or plant anatomical space.	TOP:flora_phenotype	Use has_part only between continuants; a canonical structural pattern is has_part some (plant continuant and RO:0000053 has characteristic some PATO:0000001 descendant other than a process characteristic).	BFO 2020; RO/BFO relation constraints; PATO:0000001	Reparent existing PHENO|PO and EQ|PO|PATO classes here by the BFO/PO category of the target, without changing their identifiers.		
TOP:anatomical_entity_phenotype		new_top_level_branch	bearer_facet	plant anatomical entity phenotype	A plant continuant-target phenotype whose distinguishing feature inheres in a plant anatomical entity or one of its parts.	TOP:continuant_target_phenotype	Target is_a PO:0025131 plant anatomical entity.	PO:0025131	Structural parent for existing entity-specific phenotype roots.		
TOP:whole_plant_phenotype	FLOPO:0000089	revise_existing	bearer_facet	whole plant phenotype	A plant anatomical entity phenotype whose distinguishing feature inheres in a whole plant or one of its parts.	TOP:anatomical_entity_phenotype	Retain the existing PHENO|PO_0000003 logical definition.	PO:0000003	Add the new structural parent; do not obsolete.		
TOP:plant_structure_phenotype	FLOPO:0018579	revise_existing	bearer_facet	plant structure phenotype	A plant anatomical entity phenotype whose distinguishing feature inheres in a plant structure or one of its parts.	TOP:anatomical_entity_phenotype	Target is_a PO:0009011 plant structure.	PO:0009011	Reuse the original FLOPO identifier and reparent structure-specific phenotype roots beneath it; obsolete duplicate FLOPO:0980419 with a replacement link.	""	""
TOP:plant_substance_phenotype	FLOPO:0900047	revise_existing	bearer_facet	portion of plant substance phenotype	A plant anatomical entity phenotype whose distinguishing feature inheres in a portion of plant substance or one of its parts.	TOP:anatomical_entity_phenotype	Retain PHENO|PO_0025161; add only the new structural parent.	PO:0025161	Repair and extend the existing branch; do not duplicate or obsolete it.		
TOP:plant_anatomical_space_phenotype	FLOPO:0017857	revise_existing	bearer_facet	plant anatomical space phenotype	A plant continuant-target phenotype whose distinguishing feature concerns a plant anatomical space or its boundary.	TOP:continuant_target_phenotype	Do not treat an anatomical space as a material entity; use the PO anatomical-space hierarchy as target.	BFO 2020; PO anatomical-space hierarchy	Reuse the original FLOPO identifier and reparent space-specific phenotype roots beneath it; obsolete duplicate FLOPO:0980420 with a replacement link.	""	""
TOP:plant_material_aggregate_phenotype		new_top_level_branch	bearer_facet	plant material aggregate phenotype	A plant anatomical entity phenotype whose distinguishing feature concerns a collection of plant material entities considered together without requiring them to form one connected structure.	TOP:anatomical_entity_phenotype	Do not equate this branch with PO:0025497 collective plant structure, whose members must be adjacent; use BFO:0000115 has member part for aggregate membership.	BFO 2020 object aggregate; BFO:0000115; PO:0025497 boundary	Parent for foliage phenotype and future distributed plant collections.		
TOP:occurrent_target_phenotype		new_top_level_branch	bearer_facet	plant occurrent-target phenotype	A flora phenotype whose distinguishing feature is a feature of a plant biological process in which a plant bearer participates.	TOP:flora_phenotype	Never use has_part from a material plant bearer to a process. Complete Manchester template: FLOPO:<class> EquivalentTo BFO:0000051 some (<PO bearer> and RO:0000056 some (<GO:0008150 descendant> and RO:0000053 some <PATO:0001236 descendant>)).	BFO 2020; RO:0000056; RO:0000053; GO:0008150; PATO:0001236	This branch replaces the old invalid pattern that made any material bearer with a process characteristic unsatisfiable.		
TOP:plant_process_phenotype		new_top_level_branch	bearer_facet	plant process phenotype	A plant occurrent-target phenotype whose distinguishing feature inheres in a biological process involving a plant bearer.	TOP:occurrent_target_phenotype	Within the outer BFO:0000051 restriction, use RO:0000056 to link the explicit PO bearer to a GO process and RO:0000053 to link that process to a PATO process characteristic; RO:0000086 has quality is continuant-specific.	RO process-relations guidance; GO:0008150; PATO:0001236	Migrate process-characteristic terms only after identifying their PO bearer and GO process target and validating satisfiability.		
