row_id	action	target	label	parent	axiom	entity	quality	definition	definition_sources	synonyms	rationale	curator_decision	curator_notes
GF-Q01	new_local_quality	GF:biennial_life_span	biennial life span	PATO:0000050				A life span quality inhering in a bearer by virtue of the bearer's expected natural life span being more than one year and no more than two years.	EVID:FLORA_AUSTRALIA_HABIT|EVID:NYBG_ANNUAL	exact:biennial	Completes the approved annual (FLOPO:0985010, at most one year) / perennial (FLOPO:0985011, more than two years) partition of PATO:0000050 life span; PATO has no biennial value (checked ont/quality.obo). Propose to PATO with the annual/perennial batch.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-Q02	new_local_quality	GF:arborescent_habit	arborescent habit	PATO:0000051				A morphology quality inhering in a plant by virtue of the plant having a tree-like habit, with a single dominant, self-supporting main stem that bears a crown and attains tree stature.	EVID:FLORA_AUSTRALIA_HABIT|EVID:PLANTNET_TREE_UNDERSHRUB	related:tree habit|related:tree growth form	No PATO value for the tree habit; PATO:0095004 arboreal is a different referent (adaptation for living in trees). Resemblance sense of the approved FLOPO-CAND:arborescent_growth revision: woodiness is deliberately not part of the quality (tree ferns, palms).	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-Q03	new_local_quality	GF:frutescent_habit	frutescent habit	PATO:0000051				A morphology quality inhering in a plant by virtue of the plant being woody and much branched, with several stems or main branches arising at or near ground level and no single dominant trunk.	EVID:FLORA_AUSTRALIA_HABIT|EVID:PLANTNET_SHRUB_SUBSHRUB	related:shrub habit|related:shrub growth form	No PATO value for the shrub habit. Follows the approved FLOPO-CAND:shrubby_growth definition of FLOPO:0900034.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-Q04	new_local_quality	GF:suffrutescent_habit	suffrutescent habit	PATO:0000051				A morphology quality inhering in a plant by virtue of the plant being low, usually less than 1 m high, with a persistent woody base from which herbaceous or only partly woody upper shoots arise.	EVID:PLANTNET_SHRUB_SUBSHRUB|EVID:PLANTNET_TREE_UNDERSHRUB	related:subshrub habit	Subshrub habit (NCVC Q15, 7 Saudi rows). The released FLOPO:0980083 shoot axis suffruticose has a shoot-axis bearer, so it cannot carry a whole-plant habit value.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-P01	new_phenotype	GF:whole_plant_suffrutescent	whole plant suffrutescent	FLOPO:0900032				A whole plant growth form phenotype in which the plant is a subshrub: low, usually less than 1 m high, with a persistent woody base from which herbaceous or only partly woody upper shoots arise.	EVID:PLANTNET_SHRUB_SUBSHRUB|EVID:PLANTNET_TREE_UNDERSHRUB	exact:subshrub|related:undershrub|related:suffrutescent	Whole-plant counterpart of the subshrub habit; sibling of whole plant frutescent (no subclass or disjointness asserted: glossaries disagree on whether subshrubs are small shrubs).	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L01	logical_axiom	FLOPO:0980070	whole plant lifestyle		EquivalentTo	PO:0000003	PATO:0000050				Attribute class: a whole plant that has some life span quality. Necessary and sufficient; mirrors released attribute classes such as whole plant shedability.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L02	logical_axiom	FLOPO:0980071	whole plant annual		EquivalentTo	PO:0000003	FLOPO:0985010				Approved PATO-CAND:annual_life_span (curator accept 2026-09-18) composed with the whole plant, as its curator row requires.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L03	logical_axiom	FLOPO:0980072	whole plant biennial		EquivalentTo	PO:0000003	GF:biennial_life_span				Requires GF-Q01.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L04	logical_axiom	FLOPO:0980073	whole plant perennial		EquivalentTo	PO:0000003	FLOPO:0985011				Approved PATO-CAND:perennial_life_span (curator accept_with_revision 2026-09-18). Requires the GF-D02 definition revision (the current text, more than one growing season, would include biennials).	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L05	logical_axiom	FLOPO:0900033	whole plant arborescent		EquivalentTo	PO:0000003	GF:arborescent_habit				Requires GF-Q02.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L06	logical_axiom	FLOPO:0900033	whole plant arborescent		SubClassOf	PO:0000003	FLOPO:0985011				Necessary only: a tree-like habit with a persistent trunk implies a perennial life span.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L07	logical_axiom	FLOPO:0900033	whole plant arborescent		SubClassOf	FLOPO:0985025					Necessary only: the approved definition requires a single dominant self-supporting main stem, i.e. a trunk (FLOPO:0985025, approved PO-CAND:trunk). Woodiness is not asserted (resemblance sense).	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L08	logical_axiom	FLOPO:0900034	whole plant frutescent		EquivalentTo	PO:0000003	GF:frutescent_habit				Requires GF-Q03.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L09	logical_axiom	FLOPO:0900034	whole plant frutescent		SubClassOf	PO:0025029	PATO:0002348				Necessary only: the approved definition says woody (PATO:0002348 ligneous on a shoot axis).	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L10	logical_axiom	FLOPO:0900034	whole plant frutescent		SubClassOf	PO:0000003	FLOPO:0985011				Necessary only: the approved definition says perennial.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L11	logical_axiom	GF:whole_plant_suffrutescent	whole plant suffrutescent		EquivalentTo	PO:0000003	GF:suffrutescent_habit				Requires GF-Q04 and GF-P01.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L12	logical_axiom	GF:whole_plant_suffrutescent	whole plant suffrutescent		SubClassOf	PO:0008039	PATO:0002348				Necessary only: the base of the stem is woody (PO:0008039 stem base, PATO:0002348 ligneous).	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L13	logical_axiom	GF:whole_plant_suffrutescent	whole plant suffrutescent		SubClassOf	PO:0000003	FLOPO:0985011				Necessary only: the persistent woody base implies a perennial life span.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
GF-L14	logical_axiom	FLOPO:0980083	shoot axis suffruticose		SubClassOf	PO:0008039	PATO:0002348				Necessary only: its definition says the shoot axis is woody at the base. Not sufficient: the herbaceous upper branches are not expressible without negation.	accept	Approved as schema-extension item A1 by the curator on 2026-09-18.
