proposal_id	surface_forms	corpus_frequency	intended_ontology	recommendation	preferred_label	definition	definition_sources	direct_parent_ids	part_of_ids	other_axioms	evidence_status	current_ontology_status	counterexample_or_caveat	curator_decision	curator_notes
PATO-CAND:campanulate	campanulate|bell shaped	8	PATO	accept_proposal	campanulate	A shape quality inhering in a bearer by virtue of having an inflated tubular basal portion that widens gradually toward a distal limb or lobes.	EVID:UPOV_TGP14|EVID:MOBOT_CAMPANULATE	PATO:0000052		Keep as a sibling of tubular, funnel-shaped, and cup-shaped; do not make it a subclass of every bell-bearing anatomical entity.	definition_and_boundary_verified	Absent from pinned PATO master@83ec8697a02e3ef07beb9f5ea0256670ab1a4b15.	The term is commonly applied to a corolla, but the quality itself is bearer-independent; no fixed size ratio is asserted.		
PATO-CAND:filiform	filiform	1	PATO	accept_proposal	filiform	A shape quality inhering in a bearer by virtue of being long, very slender, and terete, thereby resembling a thread.	EVID:UPOV_TGP14|EVID:MOBOT_FILIFORM	PATO:0000052		Sibling rather than synonym of linear; do not assert disjointness because borderline usages occur.	definition_and_boundary_verified	Absent from pinned PATO master; PATO:0001199 linear and PATO:0104016 terete are present but not equivalent.	Some glossaries use thread-like loosely; the operational definition follows the independently attested terete sense.		
PATO-CAND:hastate	hastate	5	PATO	accept_proposal	hastate	A shape quality inhering in a flat bearer by virtue of having two approximately triangular basal lobes directed outward to either side of the main axis.	EVID:UPOV_TGP14|EVID:MOBOT_HASTATE|EVID:PLANTNET_HASTATE	PATO:0000052		Sibling of PATO:0001881 arrow-shaped/sagittate; do not add hastate as its synonym and do not assert hard disjointness.	definition_and_boundary_verified	Absent from pinned PATO master; sagittate is an exact synonym of PATO:0001881.	Sagittate lobes are directed downward whereas hastate lobes are directed outward; transitional descriptions such as sagittate-hastate argue against disjointness.		
PATO-CAND:crimson	crimson|deep crimson	37	PATO	reject_current_proposal	crimson		EVID:NIST_SP440|EVID:NIST_CENTROIDS			Do not assign one exact ISCC-NBS block or prototype unless the class is explicitly scoped to a named color standard.	evidence_refutes_single_prototype	No atomic crimson class in pinned PATO; FLOPO contains corpus-specific crimson derivatives currently placed under red.	NBS SP 440 maps crimson to several blocks across source dictionaries, so a single vivid-red or purplish-red prototype would misrepresent botanical usage.		
PATO-CAND:scarlet	scarlet|bright scarlet|pale scarlet|light scarlet	26	PATO	reject_current_proposal	scarlet		EVID:NIST_SP440|EVID:NIST_CENTROIDS			Do not assign one exact vivid-red or vivid-reddish-orange block unless the class is explicitly scoped to a named color standard.	evidence_refutes_single_prototype	No atomic scarlet class in pinned PATO; FLOPO contains corpus-specific scarlet derivatives currently placed under red.	NBS SP 440 records multiple source-dependent placements, spanning red and reddish-orange families.		
SURFACE-CAND:silver_silvery	silver|silvery	22	FLOPO	revise_and_sense_split	silvery appearance	A plant appearance having a pale white-to-grey visual field with metallic or specular lustre; when the field usage instead denotes pale hairs, wax, or bloom, that causal phenotype is represented separately.	EVID:SACCARDO_CHROMOTAXIA	FLOPO:0000000		Use Saccardo category 1 as the source-qualified prototype for silver-coloured, composed from a white or pale colour component and reflectivity such as PATO:0001373 glistening; distinguish dense pale trichomes and wax or bloom rather than inferring one mechanism from the word alone.	botanical_prototype_found_corpus_sense_split_required	FLOPO:0980092 silvery is currently a subclass of PATO:0000950 grey, but Saccardo defines silver-coloured by white plus metallic lustre and no atomic silver term exists in pinned PATO.	The same field appearance can arise through different colours, reflective properties, hairs, or coatings. The historic plate may have aged, and an sRGB value would not encode metallic reflectance.		
SURFACE-CAND:lip	lip	103	PO	sense_split			EVID:AOS_ORCHID_GLOSSARY|EVID:ORCHID_LABELLUM_REVIEW|EVID:BILABIATE_REVIEW			Disambiguate at mention level among orchid labellum, a lip of a fused bilabiate corolla, other functional lip structures, and non-anatomical topographic uses.	multiple_senses_verified	No general lip class in pinned PO.	A taxon-free exact mapping is unsafe because the structures called lip are not homologous and some corpus uses are geographical prose.		
PO-CAND:orchid_labellum	labellum	0	PO	accept_proposal	orchid labellum	A petal that is the specialized median member of the inner perianth whorl of a flower of Orchidaceae.	EVID:AOS_ORCHID_GLOSSARY|EVID:ORCHID_LABELLUM_REVIEW	PO:0009032	PO:0009059	Record the Orchidaceae scope in the label, definition, and taxon constraint or scope note; lip is only a taxon/context-dependent synonym.	definition_and_homology_verified	Absent from pinned PO v2026-01-09.	Do not merge with staminode-derived labella in Cannaceae or with a lip made from fused portions of multiple petals.		
PO-CAND:corolla_lip	corolla lip	0	PO	revise_proposal	corolla lip	A collective organ part structure composed of distal portions of one or more fused petals that form one side of a bilabiate corolla.	EVID:BILABIATE_REVIEW	PO:0025269	PO:0025581	Upper corolla lip and lower corolla lip may be subclasses; bare lip remains a related, context-dependent synonym.	concept_supported_parent_needs_po_review	Absent from pinned PO v2026-01-09.	The broader functional notion of a floral lip can be realized by structures other than fused petals, so this class must remain explicitly corolla-specific.		
PO-CAND:corolla_tube	corolla tube|corolla-tube	4	PO	accept_proposal	corolla tube	A collective organ part structure composed of the proximal fused portions of two or more petals in a fused corolla, extending distally to where the petal portions diverge or become free.	EVID:NYBG_COROLLA_TUBE|EVID:UPOV_TGP14	PO:0025269	PO:0025581	Do not assert has_part some fused petal, because the tube contains portions of the petals rather than each entire petal.	definition_and_parthood_verified	Absent from pinned PO; PO:0025581 fused corolla and PO:0025583 fused petal are present.	In a gradually widening corolla the distal boundary can be conventional rather than sharply demarcated.		
PO-CAND:corolla_throat	throat|corolla throat	24	PO	revise_and_sense_split	corolla throat	A plant anatomical entity at the distal entrance to a corolla tube.	EVID:NYBG_COROLLA_THROAT		PO-CAND:corolla_tube	Resolve whether PO should distinguish the opening, which is a plant anatomical space, from the surrounding distal tube region, which is structural tissue.	conflicting_glossary_senses_identified	Absent from pinned PO.	NYBG defines the opening, while flora phrases assigning color or markings in the throat generally target the surrounding tissue; one class cannot safely serve both without an explicit sense decision.		
PO-CAND:pseudobulb	pseudobulb|pseudobulbs	3	PO	revise_proposal	orchid pseudobulb	A swollen portion of a shoot axis in an orchid that stores water or nutrients and is not a true bulb.	EVID:AOS_ORCHID_GLOSSARY|EVID:NYBG_PSEUDOBULB			Choose between shoot axis and cardinal organ part after PO modeling review; remove or narrow the current pseudobulb synonym under corm if a distinct class is accepted.	definition_verified_parent_unresolved	PO:0025355 corm has pseudobulb as a NARROW synonym, but corm is defined as an entire shoot system with a short enlarged stem.	Pseudobulbs may contain one or several internodes and can be above ground; treating every pseudobulb as a corm or every one as an entire shoot system overclaims.		
PO-CAND:storage_shoot_tunic	tunic|tunics	3	PO	revise_and_split	storage shoot tunic	A dry, papery outer covering of a bulb or corm formed from outer leaf bases.	EVID:NYBG_TUNIC			Prefer separate bulb tunic and corm tunic subclasses with the appropriate part_of target; decide whether each tunic is a leaf base/scale leaf or a collective phyllome structure.	definition_verified_cardinality_unresolved	No current live PO tunic class; PO:0006302 obsolete tunica is an unrelated meristem-layer term.	Not every bulb has a tunic, so only tunic part_of bulb is safe; bulb has_part tunic is not universal. Singular tunic and plural tunics may denote a covering versus its individual layers.		
PO-CAND:parasitic_plant_haustorium	haustorium|haustoria	1	PO	accept_proposal	parasitic plant haustorium	A plant organ of a parasitic plant that penetrates host tissue and forms a connection through which water or nutrients can be transferred between host and parasite.	EVID:HAUSTORIUM_REVIEW	PO:0009008	PO:0000003	Do not assert generic part_of root or stem; root haustorium and stem haustorium may be subclasses when developmental origin is known.	definition_and_nonuniversal_parthood_verified	PO:0003004 haustorial root is obsolete without a replacement; no generic live haustorium class exists in pinned PO.	Terminal haustoria are root-derived, but lateral haustoria can arise from root or stem tissues, including Cuscuta stem haustoria.		
SURFACE-CAND:corona	corona	16	PO	sense_split	floral corona	A ring or series of floral appendages situated between the corolla and androecium and derived from petals, stamens, or both.	EVID:NYBG_CORONA|EVID:CORONA_ONTOGENY	PO:0025269	PO:0009046	Use an origin-neutral generic class only as a parent; map a mention to corolline, staminal, or gynostegial corona when its developmental origin is supported.	multiple_developmental_origins_verified	No floral corona or gynostegium class in pinned PO.	Attachment position does not prove developmental origin, and a generic corona must not be universally part_of either corolla or androecium.		
PO-CAND:corolline_corona	corolline corona	0	PO	revise_proposal	corolline corona	A floral corona whose appendages develop from the corolla.	EVID:CORONA_ONTOGENY	SURFACE-CAND:corona	PO:0009059	Assert the corolla parthood only for this origin-specific subtype.	developmental_origin_verified_in_studied_taxa	Absent from pinned PO.	Evidence is taxon-specific; the definition is general but each annotation still requires origin evidence.		
PO-CAND:staminal_corona	staminal corona	0	PO	revise_proposal	staminal corona	A floral corona whose appendages develop from stamen filaments or a filament tube.	EVID:CORONA_ONTOGENY	SURFACE-CAND:corona	PO:0009061	Assert androecium parthood only for this origin-specific subtype.	developmental_origin_verified_in_studied_taxa	Absent from pinned PO.	Do not infer staminal origin merely because a corona is adjacent or secondarily adnate to stamens.		
PO-CAND:gynostegial_corona	gynostegial corona	0	PO	blocked_by_dependency	gynostegial corona	A floral corona associated developmentally and structurally with a gynostegium.	EVID:NYBG_CORONA|EVID:CORONA_ONTOGENY	SURFACE-CAND:corona		Define gynostegium in PO and verify the origin of the relevant corona parts before asserting parthood.	term_supported_dependency_unmodeled	Neither gynostegium nor gynostegial corona exists in pinned PO.	Gynostegial position alone does not determine whether every component is corolline or androecial.		
FLOPO-CAND:climber	climber|climbing|scandent	28	FLOPO	revise_existing	whole plant climbing phenotype	A whole-plant phenotype in which, after some growth, the plant cannot mechanically sustain its stem without an external support.	EVID:CLIMBING_TERMINOLOGY	FLOPO:0900032		Retain as a primitive evidence-defined phenotype until a suitable relation to an external support is selected; make liana and vine narrower phenotypes.	definition_and_boundary_verified	FLOPO:0900035 whole plant lianescent currently has climber and liana as exact synonyms but no definition or logical characterization.	Climbing is support dependence, not merely a coiled, flexible, long, or prostrate stem; those qualities alone are insufficient.		
FLOPO-CAND:liana	liana|lianas	0	FLOPO	revise_existing	whole plant liana phenotype	A whole-plant climbing phenotype in which the climbing axes are woody throughout their length.	EVID:CLIMBING_TERMINOLOGY	FLOPO-CAND:climber		Combine the support-dependent climber phenotype with PATO:0002348 ligneous on the relevant shoot axes.	definition_verified	Liana is currently an exact synonym of FLOPO:0900035, conflated with the broader climber sense.	The historical word can be used more broadly, but the cited standardization recommends the woody restriction.		
FLOPO-CAND:vine	vine|vines	49	FLOPO	revise_existing	whole plant vine phenotype	A whole-plant climbing phenotype in which the climbing axes are herbaceous or otherwise non-woody.	EVID:CLIMBING_TERMINOLOGY	FLOPO-CAND:climber		Combine the support-dependent climber phenotype with PATO:0002352 herbaceous on the relevant shoot axes.	definition_verified	PO:0000003 carries vine only as a NARROW synonym; FLOPO lacks a distinct defined vine phenotype.	Some English usage calls woody climbers vines; the proposed class follows the cited standardized technical sense.		
FLOPO-CAND:simple_scrambling	scrambling|clambering|scrambler	28	FLOPO	new_compositional_phenotype	simple scrambling climbing phenotype	A climbing phenotype in which the plant grows over support without active searching movement or a specialized attachment structure.	EVID:CLIMBING_TERMINOLOGY	FLOPO-CAND:climber		Represent as a narrower climbing mechanism; avoid inventing a PATO shape that equates absence of a specialized attachment organ with a bearer-intrinsic form.	definition_verified	No corresponding PO/PATO/FLOPO class in the pinned artifacts.	Some scramblers possess hooks or spines; the source distinguishes simple scrambling from hook-assisted passive climbing, so context may require a narrower mechanism.		
FLOPO-CAND:twining	twining|twiner	14	FLOPO	new_compositional_phenotype	twining climbing phenotype	A climbing phenotype in which the main stem coils helically around an external support.	EVID:CLIMBING_TERMINOLOGY	FLOPO-CAND:climber		Use PATO:0000404 coiled for stem shape only as one component; retain the relation to an external support so a free coil is not classified as twining.	definition_verified	No corresponding defined FLOPO class; PATO:0000404 coiled is necessary but not sufficient.	Twining petioles, tendrils, and inflorescences are different mechanisms and must not be normalized to main-stem twining.		
FLOPO-PATTERN:compound_colour	compound color|compound colour	0	FLOPO	modeling_pattern	compound botanical color phenotype	A botanical color phenotype whose description records two or more color components without asserting that the phenotype is a subclass of each component color.				Use FLOPO has_quality_component restrictions to the PATO components; do not create every compound in PATO and do not use multiple PATO is_a parents.	policy_confirmed	FLOPO already defines a has_quality_component property and uses it for imported compound values.	A mixture, transition, spotting pattern, and region-qualified combination are not interchangeable; preserve the construction and location from the source phrase.		
FLOPO-PATTERN:colour_alternative	greenish or pinkish|color or color|colour or colour	0	FLOPO	modeling_pattern	alternative botanical color phenotype	A botanical color phenotype for which the source leaves two or more color values as alternatives.				Define the class with owl:unionOf the alternatives; never encode an or phrase as conjunctive parents or as multiple component restrictions.	policy_and_current_axiom_verified	FLOPO:0980199 greenish or pinkish and other imported alternatives already use owl:unionOf in ontology/flopo.owl.	A union preserves uncertainty in the source; it does not mean one specimen simultaneously bears every alternative.		
FLOPO-CAND:leafless	leafless	36	FLOPO	new_compositional_phenotype	whole plant leafless phenotype	A whole-plant phenotype in which the plant lacks all leaves at the described life stage.		FLOPO:0900032		Compose PO:0000003 whole plant with PATO:0002000 lacks all parts of type toward PO:0025034 leaf, while retaining life-stage context.	logical_components_available	No dedicated defined FLOPO class identified; the required PO/PATO components exist.	Deciduous plants can be leafless temporarily, and reduced scales may or may not count as leaves for a particular description; do not infer a permanent taxon property.		
FLOPO-CAND:leafy	leafy	602	FLOPO	definition_required	whole plant leafy phenotype	A whole-plant phenotype in which leaves are sufficiently numerous or conspicuous to dominate the described shoot appearance.		FLOPO:0900032		Do not reduce leafy to has_part some leaf. Select a comparative amount, density, or coverage model only after corpus examples establish the intended baseline.	common_term_semantics_not_operationalized	No dedicated defined FLOPO class identified; PATO cardinality and amount qualities exist but none is yet proven exact.	Almost every normal vascular plant has at least one leaf, so simple presence would make the phenotype uninformative and wrong.		
FLOPO-CAND:bushy	bushy	229	FLOPO	definition_required	whole plant bushy phenotype	A whole-plant phenotype characterized by dense branching and a compact, spreading shoot architecture.		FLOPO:0900032		Likely compose branchiness, branch density, and branch position; do not map automatically to shrub because herbs and other non-woody plants can be bushy.	common_term_semantics_not_operationalized	FLOPO:0900034 whole plant frutescent has bush and shrub as exact synonyms, but bushy is not equivalent to being a shrub.	A bushy herb is not a shrub; an evidence-backed operational threshold or comparative reference is still needed.		
FLOPO-CAND:branching	branching	296	FLOPO	contextual_composition	shoot or whole-plant branching phenotype	A phenotype in which the described plant structure has branches.				Use PATO:0000402 branched on the actual bearer recovered from context; create a whole-plant convenience class only if corpus normalization requires it.	logical_component_available	PATO:0000402 branched exists; the missing normalization is chiefly bearer/context resolution rather than an ontology gap.	Branching can describe a stem, inflorescence, root, or whole-plant habit, so one context-free FLOPO target would conflate bearers.		
MAP-CAND:sexed_flower	male flower|male flowers|female flower|female flowers|staminate flower|staminate flowers|pistillate flower|pistillate flowers	23	PO	map_existing						Map staminate/male flower senses to PO:0025600 and pistillate/female flower senses to PO:0025599 after corpus-sense review; consider promoting the current RELATED male/female synonyms only through a PO proposal.	existing_classes_verified	PO:0025599 pistillate flower and PO:0025600 staminate flower are current defined classes; male flower and female flower are RELATED synonyms.	Male/female may describe the plant, reproductive function, or a flower with aborted organs; do not compose generic PATO sex qualities without checking that the PO definitions match.		
MAP-CAND:shrub_bush	shrub|shrubs|bush|bushes	213	FLOPO	map_existing	whole plant frutescent			FLOPO:0900034		Map a focal plant growth-form mention to FLOPO:0900034; retain PO:0000003 only as a broader anatomical target when an entity rather than a phenotype is required.	pinned_ontology_and_corpus_context_checked	FLOPO:0900034 has shrub and bush as exact synonyms; PO:0000003 has both only as NARROW synonyms.	Many bush occurrences describe a support or habitat plant rather than the focal taxon, so extraction must bind the mention before asserting a phenotype.		
MAP-CAND:tree	tree|trees	103	FLOPO	map_existing	whole plant arborescent			FLOPO:0900033		Map focal growth-form uses to FLOPO:0900033; retain PO:0000003 only as the broader entity target when appropriate.	pinned_ontology_and_corpus_context_checked	FLOPO:0900033 has tree as an exact synonym; PO:0000003 has tree only as a NARROW synonym.	The word also occurs in comparisons and habitat prose; normalization does not by itself establish that the focal taxon is a tree.		
